Date,Theme,Time Left,Outfit Complete,Won,Podium,Stars,Rank,Players
9/30/24,Food-Inspired,0:00,No,No,Yes,15,3,7
9/30/24,The Oscars,0:17,Yes,No,No,17,5,8
9/30/24,Valentine's Day,0:00,Yes,No,No,13,9,9
9/30/24,Old Money,0:07,Yes,No,Yes,30,3,11
9/30/24,Cherry Blossoms,0:26,Yes,No,No,10,8,8
9/30/24,It's Not a Phase Mom,0:10,Yes,No,No,8,9,9
9/30/24,Back to School,0:07,Yes,No,Yes,21,3,10
9/30/24,Airport Outfit,0:00,Yes,No,Yes,16,3,9
9/30/24,Police / Theif,0:00,Yes,Yes,Yes,21,1,8
9/30/24,Light Colors,0:04,Yes,No,No,16,5,9
9/30/24,Spy,1:19,Yes,No,No,13,7,9
9/30/24,Wedding Day,0:06,Yes,No,Yes,24,3,10
9/30/24,Avant-garde,0:00,No,No,No,21,7,9
9/30/24,Nightmare,0:05,Yes,No,Yes,36,3,11
10/01/24,Queen of Hearts,0:00,No,Yes,Yes,20,1,9
10/01/24,Prisoner / Cop,0:03,Yes,Yes,Yes,16,1,8
10/01/24,Hardcore Punk,0:19,Yes,No,No,10,7,8
10/01/24,Witch,0:07,Yes,No,Yes,15,2,10
10/01/24,Urban Legends,0:19,Yes,No,Yes,10,2,8
10/01/24,Spring,0:00,Yes,No,Yes,12,2,7
10/01/24,Picnic,0:05,Yes,No,No,11,4,9
10/02/24,Dark Coquette,0:12,Yes,No,No,13,5,9
10/02/24,Celebrity Look Alike,0:09,Yes,No,Yes,13,2,8
10/02/24,Country Side,0:40,Yes,Yes,Yes,16,1,8
10/02/24,Witch,0:04,Yes,Yes,Yes,16,1,9
10/02/24,Femme Fatale,0:00,No,Yes,Yes,15,1,9
10/02/24,Karen,0:26,Yes,No,Yes,13,3,10
10/15/24,Decades,0:06,Yes,No,No,16,6,11
10/15/24,Picnic,0:00,No,No,No,19,7,11
10/15/24,Jester,0:00,Yes,No,No,8,6,8
10/15/24,Dark / Light,0:04,Yes,No,No,10,6,7
10/15/24,Country Glam,0:09,Yes,No,Yes,16,3,8
10/15/24,Summer Camp,0:00,Yes,No,No,12,7,9
10/15/24,Skeletons,0:20,Yes,No,Yes,14,2,6
10/22/24,Mall Goth,0:02,Yes,No,No,9,8,9
10/22/24,Birthday,0:13,Yes,No,No,13,6,8
10/22/24,Ghosts / Ghouls,0:12,Yes,No,No,10,6,8
10/22/24,Festive Holiday,0:28,Yes,No,Yes,14,2,6
10/22/24,Back to School,0:03,Yes,No,No,10,9,10
10/22/24,Cybergoth,0:00,Yes,No,No,9,7,9
10/23/24,Favorite Item,0:00,Yes,No,No,13,4,8
10/24/24,2014 Vibes,0:13,Yes,No,No,12,4,10
10/24/24,Nursery Rhyme,0:00,No,No,Yes,16,3,8
10/24/24,Rococo,0:04,Yes,No,Yes,16,2,7
10/24/24,Tired,0:16,Yes,No,No,10,8,9
10/24/24,Picnic,0:07,Yes,No,No,12,4,9
10/30/24,Nostalgia,0:04,Yes,No,No,7,4,6
10/30/24,Detective,0:17,Yes,No,Yes,14,3,6
10/30/24,Cybergoth,0:21,Yes,No,No,10,6,9
10/30/24,Equestrian,0:02,Yes,No,No,14,4,7
10/30/24,Just Broke Up,0:16,Yes,Yes,Yes,21,1,9
